name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,,,,
Shop on eBay,2000,,,,
Spider-Man #1 CGC 9.8 Green Marvel 08/90 McFarlaneOpens in a new window or tab,8400,,0,,6
Lot of 10 Different ALL Spiderman Comic Book Books Amazing Ultimate Spider-ManOpens in a new window or tab,1497,,0,,480
Amazing Spider-Man (2025) #1-16 17 18 19 20 21 22 23 Marvel Comics COVER SELECTOpens in a new window or tab,488,,695,False,
Spider-Man #1 CGC 9.8 Silver Marvel 08/90 McFarlaneOpens in a new window or tab,8100,,0,,
Marvel Comics Spider-Verse / Spider-Geddon 2023 Omnibus SEALEDOpens in a new window or tab,3800,,600,,808
Amazing Fantasy #15 (1962 Marvel) - PSA Restored (PRO) EXT 9.6 - 1st AppearOpens in a new window or tab,13000000,,,,
Amazing Fantasy #15 (1962 Marvel) - CGC 6.5 - Origin and 1st Appearance ofOpens in a new window or tab,6201100,,,,
Amazing Spider-Man #1 (1963 Marvel) - CGC 9.6 - 2nd Appearance of Spider-MaOpens in a new window or tab,26000000,,,,
Amazing Spider-Man #129 (1974 Marvel) - CGC 9.8 - 1st Appearance of the PunOpens in a new window or tab,375000,,,,
Amazing Spider-Man #34 (1966 Marvel) - CGC 8.0 - 2nd Appearance of Gwen StaOpens in a new window or tab,21500,,,,
Amazing Spider-Man #22 (1965 Marvel) - CGC 6.5 - 1st Appearance of PrincessOpens in a new window or tab,4900,,,,
Amazing Spider-Man #86 (1970 Marvel) - CGC 8.5Opens in a new window or tab,6700,,,,
Amazing Spider-Man #194 (1979 Marvel) - CGC 5.0 - 1st Appearance of The BlaOpens in a new window or tab,8200,,,,
Amazing Spider-Man #2 (1963 Marvel) - CGC 3.5 - 1st Appearance (Adrian ToomOpens in a new window or tab,141500,,,,
Amazing Spider-Man #59 (1968 Marvel) - CGC 8.5 - 1st Mary Jane Watson CoverOpens in a new window or tab,15000,,,,
Amazing Spider-Man #45 (1967 Marvel) - CGC 8.0Opens in a new window or tab,10500,,,,
Amazing Spider-Man #82 (1970 Marvel) - CGC 8.5Opens in a new window or tab,5300,,,,
New ListingSPIDER-MAN 1 Marvel Comics 1990 McFarlane SILVER & GREEN Variant NM LOT Of 8Opens in a new window or tab,9999,,899,,
Amazing Spider-Man #23 Ivan Talavera Venom Variant || NMOpens in a new window or tab,500,,500,,
Spider-Man #1 (1990) Lot Of 2 - Silver & Green - Todd McFarlane- Marvel - NOSOpens in a new window or tab,2499,,700,,
Superman / Spider-Man #1 (PRESALE 3/25/26) YOU PICK VARIANT – DC & MarvelOpens in a new window or tab,799,,599,True,
New ListingThe Amazing Spider-Man #68 (Marvel Comics January 1969)Opens in a new window or tab,2499,,577,,
AMAZING SPIDER-MAN 200-300 YOU CHOOSE Marvel comics NM- high grade spiderman CGCOpens in a new window or tab,250,,699,,
Ultimate Spider-Man (2024) #1-15 16 17 18 19 20 21 22 23 24 Marvel COVER SELECTOpens in a new window or tab,488,,695,False,
Amazing Spider-Man #13 Main Cover Pepe LarrazOpens in a new window or tab,1099,,0,True,
ULTIMATE SPIDER-MAN: INCURSION #1 Cvr AOpens in a new window or tab,512,,788,False,
New ListingFantastic Four #35 CGC 9.2  Marvel 1965 1st appearance of Dragon Man!Opens in a new window or tab,70000,,0,,
New ListingCGC 9.8 Spectacular Spider-Man #97 Marvel Comics 1984 White PagesOpens in a new window or tab,12000,,1000,,
Peter Parker The Spectacular SpiderMan #1-95  PICK UR ISSUE  + COMBINED SHIPPINGOpens in a new window or tab,590,,550,,
New ListingAmazing Spider-Man #18 CGC 9.8 Ryan Stegman ASM #100 1971 Homage Marvel 2023Opens in a new window or tab,4999,,1195,False,
New ListingCGC 9.8 Spider-Man 1. Todd McFarlane Most Famous Spidey Cover Art SUPER HOT BOOKOpens in a new window or tab,2999,,1998,,
Spider-man #1 Todd McFarlane Mexican Panini Wraparound Foil 2026 Variant NMOpens in a new window or tab,5999,,599,,
💥 1970s Bronze Age Amazing Spider-Man v 1 # 100 - 200 Pick Choose Comic Lot 💥Opens in a new window or tab,1791,,631,,
"Marvel Comic Book Lot Silver, Bronze and Copper Keys Only (See Description)Opens in a new window or tab",2699,,699,,202
Marvel Comics: Amazing Spider-Man #195-310 Assorted 1979-86   F-VFOpens in a new window or tab,1300,,447,,
Marvel Comics: Amazing Spider-Man#311-349 assorted 1988-91  F-VFOpens in a new window or tab,1300,,447,,
🕸 Spider-Man #1 • 1990 • Direct Ed. • Silver Webs Marvel Comics • NM McFarlaneOpens in a new window or tab,2000,,550,,
Amazing Spider-Man #1 (2015) | 1st Spider-Mobile Mockingbird Prowler | FREE SHIPOpens in a new window or tab,1495,,0,True,
Spider-Man #61  Marvel Comics 1995 VF+Opens in a new window or tab,600,,399,True,
Spider-Man 2 #1 2023 Gamerverse Sony 1st app The Hood  HTF Gemini shippedOpens in a new window or tab,240,,447,,
The Amazing Spider-Man #381 (1993) Marvel Comics 9.4 NM 1st Print Comic BookOpens in a new window or tab,268,,525,True,
Spider-Man #29  MARVEL Comics 1992 VF/NMOpens in a new window or tab,600,,399,True,
🔥🕷 VENOM #26 TYLER KIRKHAM Virgin FOIL Exclusive Variant SPIDER-MANOpens in a new window or tab,2999,,585,,51
Amazing Spider-Man #23A 2026 Stock ImageOpens in a new window or tab,499,,690,False,
Spider-Man #16 Direct Market Edition ~ NEAR MINT NM ~ 1991 Marvel ComicsOpens in a new window or tab,499,,695,False,
Amazing Spider-Man #23 1:100 Bermejo Virgin Variant Actual Scans!Opens in a new window or tab,10999,,,False,
AMAZING SPIDER-MAN #23 - PICK YOUR COVER - DEATH SPIRAL - RAITOS AVAILABLEOpens in a new window or tab,449,,475,,
AMAZING SPIDER-MAN/VENOM: DEATH SPIRAL #1 - PICK UR CVROpens in a new window or tab,512,,475,,
The Amazing Spider-Man #55-189 YOU PICK THE ISSUE!Opens in a new window or tab,590,,550,,
Spider-Man Maximum Carnage Complete Marvel Deluxe TPB NEW RARE 1-14 VenomOpens in a new window or tab,2799,,799,False,
"Large 50 COMICS BOOK LOT-MARVEL, DC, INDIES- FREE/Fast Shipping! VF to NM+ ALLOpens in a new window or tab",4999,,0,False,482
💥 1970s Bronze Age Amazing Spider-Man v 1 # 100 - 200 Pick Choose Comic Lot 💥Opens in a new window or tab,1791,,631,,
"Marvel Comic Book Lot Silver, Bronze and Copper Keys Only (See Description)Opens in a new window or tab",2699,,699,,202
Marvel Comics Spider-Man: Clone Saga Omnibus #2 SEALEDOpens in a new window or tab,4500,,600,,558
Amazing Spider-Man: Spider-Versity #1 **CVR SELECT** PRESALE 04/22Opens in a new window or tab,488,,579,True,
The Amazing Spider-Man #541 (Marvel Comics April 2007) FREE SHIPPINGOpens in a new window or tab,700,,0,,
Spider-Man '94 # 1 2 3 4 5 Animation & #4 E Variant Cover SET Lot 2025-2026Opens in a new window or tab,3499,,795,False,
SPIDER-MAN #1 (MARVEL 1990) 🔥 SILVER VARIANT 🔑 COPPER AGE KEY 🔥 NICE COPY!Opens in a new window or tab,949,,650,,
New ListingAMAZING SPIDER-MAN #1 NM BERMEJO 1:200 RETAILER INCENTIVE VARIANTOpens in a new window or tab,5900,,599,,
